,Lambda,val_acc,test_acc
0,8.40390e-03,5.11400e-01,5.22100e-01
1,1.68940e-03,5.21200e-01,5.26500e-01
2,1.13104e-03,5.21400e-01,5.17100e-01
3,3.26114e-03,5.26200e-01,5.26600e-01
4,4.28609e-03,5.26200e-01,5.30500e-01
5,3.37477e-03,5.28200e-01,5.24100e-01
