,lambda,acc
0,0.004730593550311557,0.5343
1,0.004236593455454837,0.5384
2,0.000756965508848361,0.5195
3,0.00016706436935325672,0.5119
4,0.009888604243395946,0.5323
5,0.019600304306838668,0.5278
6,1.232910095753711e-05,0.5102
7,0.05412855586117118,0.5052
