&Unnamed: 0&lambda&acc
6&6&3.246e-03&5.415e-01
3&3&4.496e-03&5.370e-01
2&2&5.431e-03&5.382e-01
1&1&6.736e-03&5.352e-01
0&0&6.829e-03&5.380e-01
4&4&7.488e-03&5.378e-01
5&5&8.157e-03&5.279e-01
7&7&9.261e-03&5.387e-01
