&Unnamed: 0&lambda&acc
6&6&$1.233\times10^{-5}$&51.02\\
3&3&$1.671\times10^{-4}$&51.19\\
2&2&$7.570\times10^{-4}$&51.95\\
1&1&$4.237\times10^{-3}$&53.84\\
0&0&$4.731\times10^{-3}$&53.43\\
4&4&$9.889\times10^{-3}$&53.23\\
5&5&$1.960\times10^{-2}$&52.78\\
7&7&$5.413\times10^{-2}$&50.52\\
